absolute_squared_residual_reduction_10_to_25,absolute_squared_residual_reduction_25_to_50,absolute_squared_residual_reduction_50_to_100,actual_fit_initialization_hash_sha256,actual_relative_frobenius_error,actual_relative_squared_frobenius_error,bound_tolerance,checkpoint_sha256,completed_requested_budget,compression_factor,convergence_status,decomposition_runtime_seconds,default_explicit_khatri_rao_peak_bytes_avoided,dense_tensor_shape,deterministic_settings,device,failure_exception,gap_above_max_bound,initialization_hash_sha256,initialization_identifier,initialization_matches_other_budgets,initialization_verification,initializer,iteration_budget,max_unfolding_tail_bound_squared,method,mttkrp_implementation,mttkrp_max_explicit_bytes,mttkrp_rank_chunk_size,numerical_precision,output_mode_svd_residual_squared,parameter_count,parameter_ratio,rank,relative_squared_residual_reduction_10_to_100,seed,status
,,,c61dbbe556bfbc8becf4f64e4b1d41d55bae52fb0d86c78bf98d202358c85a29,0.9835035890946395,0.9672793097620375,1e-05,synthetic,True,15.172413793103448,completed_requested_budget_iteration_history_unavailable,0.0009767079609446228,576,8x6x3x3,"{""deterministic"": true, ""seed"": 0, ""torch_deterministic_algorithms"": ""warn_only""}",cpu,,0.17424479745176524,c61dbbe556bfbc8becf4f64e4b1d41d55bae52fb0d86c78bf98d202358c85a29,sha256:c61dbbe556bfbc8becf4f64e4b1d41d55bae52fb0d86c78bf98d202358c85a29,True,independent_zero_iteration_probe_matches_factors_captured_from_actual_fit,random,1,0.7930345123102722,cp,smallnet_hybrid_memory_bounded_mttkrp,536870912,64,torch.float32,0.7930345123102722,29,0.0659090909090909,1,,0,completed
,,,c61dbbe556bfbc8becf4f64e4b1d41d55bae52fb0d86c78bf98d202358c85a29,0.9727653979289257,0.9462725194078212,1e-05,synthetic,True,15.172413793103448,completed_requested_budget_iteration_history_unavailable,0.0011467079748399556,576,8x6x3x3,"{""deterministic"": true, ""seed"": 0, ""torch_deterministic_algorithms"": ""warn_only""}",cpu,,0.15323800709754898,c61dbbe556bfbc8becf4f64e4b1d41d55bae52fb0d86c78bf98d202358c85a29,sha256:c61dbbe556bfbc8becf4f64e4b1d41d55bae52fb0d86c78bf98d202358c85a29,True,independent_zero_iteration_probe_matches_factors_captured_from_actual_fit,random,2,0.7930345123102722,cp,smallnet_hybrid_memory_bounded_mttkrp,536870912,64,torch.float32,0.7930345123102722,29,0.0659090909090909,1,,0,completed
,,,c61dbbe556bfbc8becf4f64e4b1d41d55bae52fb0d86c78bf98d202358c85a29,0.9719876592768023,0.9447600097863971,1e-05,synthetic,True,15.172413793103448,completed_requested_budget_iteration_history_unavailable,0.0014328330289572477,576,8x6x3x3,"{""deterministic"": true, ""seed"": 0, ""torch_deterministic_algorithms"": ""warn_only""}",cpu,,0.15172549747612485,c61dbbe556bfbc8becf4f64e4b1d41d55bae52fb0d86c78bf98d202358c85a29,sha256:c61dbbe556bfbc8becf4f64e4b1d41d55bae52fb0d86c78bf98d202358c85a29,True,independent_zero_iteration_probe_matches_factors_captured_from_actual_fit,random,3,0.7930345123102722,cp,smallnet_hybrid_memory_bounded_mttkrp,536870912,64,torch.float32,0.7930345123102722,29,0.0659090909090909,1,,0,completed
,,,c61dbbe556bfbc8becf4f64e4b1d41d55bae52fb0d86c78bf98d202358c85a29,0.9716149221672412,0.9440355569780543,1e-05,synthetic,True,15.172413793103448,completed_requested_budget_iteration_history_unavailable,0.0018542500329203904,576,8x6x3x3,"{""deterministic"": true, ""seed"": 0, ""torch_deterministic_algorithms"": ""warn_only""}",cpu,,0.15100104466778208,c61dbbe556bfbc8becf4f64e4b1d41d55bae52fb0d86c78bf98d202358c85a29,sha256:c61dbbe556bfbc8becf4f64e4b1d41d55bae52fb0d86c78bf98d202358c85a29,True,independent_zero_iteration_probe_matches_factors_captured_from_actual_fit,random,4,0.7930345123102722,cp,smallnet_hybrid_memory_bounded_mttkrp,536870912,64,torch.float32,0.7930345123102722,29,0.0659090909090909,1,,0,completed
,,,b0e71b0c380b4912c4bfa6a558ba911afda4abf17c451bebb3ce2b7f49cf7d7b,0.9685762389625115,0.9381399306827644,1e-05,synthetic,True,15.172413793103448,completed_requested_budget_iteration_history_unavailable,0.0006962090265005827,576,8x6x3x3,"{""deterministic"": true, ""seed"": 1, ""torch_deterministic_algorithms"": ""warn_only""}",cpu,,0.14510541837249213,b0e71b0c380b4912c4bfa6a558ba911afda4abf17c451bebb3ce2b7f49cf7d7b,sha256:b0e71b0c380b4912c4bfa6a558ba911afda4abf17c451bebb3ce2b7f49cf7d7b,True,independent_zero_iteration_probe_matches_factors_captured_from_actual_fit,random,1,0.7930345123102722,cp,smallnet_hybrid_memory_bounded_mttkrp,536870912,64,torch.float32,0.7930345123102722,29,0.0659090909090909,1,,1,completed
,,,b0e71b0c380b4912c4bfa6a558ba911afda4abf17c451bebb3ce2b7f49cf7d7b,0.9638076434176505,0.9289251735102848,1e-05,synthetic,True,15.172413793103448,completed_requested_budget_iteration_history_unavailable,0.001097832981031388,576,8x6x3x3,"{""deterministic"": true, ""seed"": 1, ""torch_deterministic_algorithms"": ""warn_only""}",cpu,,0.13589066120001259,b0e71b0c380b4912c4bfa6a558ba911afda4abf17c451bebb3ce2b7f49cf7d7b,sha256:b0e71b0c380b4912c4bfa6a558ba911afda4abf17c451bebb3ce2b7f49cf7d7b,True,independent_zero_iteration_probe_matches_factors_captured_from_actual_fit,random,2,0.7930345123102722,cp,smallnet_hybrid_memory_bounded_mttkrp,536870912,64,torch.float32,0.7930345123102722,29,0.0659090909090909,1,,1,completed
,,,b0e71b0c380b4912c4bfa6a558ba911afda4abf17c451bebb3ce2b7f49cf7d7b,0.9625884014400305,0.9265764305868734,1e-05,synthetic,True,15.172413793103448,completed_requested_budget_iteration_history_unavailable,0.00135162501828745,576,8x6x3x3,"{""deterministic"": true, ""seed"": 1, ""torch_deterministic_algorithms"": ""warn_only""}",cpu,,0.13354191827660122,b0e71b0c380b4912c4bfa6a558ba911afda4abf17c451bebb3ce2b7f49cf7d7b,sha256:b0e71b0c380b4912c4bfa6a558ba911afda4abf17c451bebb3ce2b7f49cf7d7b,True,independent_zero_iteration_probe_matches_factors_captured_from_actual_fit,random,3,0.7930345123102722,cp,smallnet_hybrid_memory_bounded_mttkrp,536870912,64,torch.float32,0.7930345123102722,29,0.0659090909090909,1,,1,completed
,,,b0e71b0c380b4912c4bfa6a558ba911afda4abf17c451bebb3ce2b7f49cf7d7b,0.9621735976604379,0.9257780320348302,1e-05,synthetic,True,15.172413793103448,completed_requested_budget_iteration_history_unavailable,0.0015869589988142252,576,8x6x3x3,"{""deterministic"": true, ""seed"": 1, ""torch_deterministic_algorithms"": ""warn_only""}",cpu,,0.132743519724558,b0e71b0c380b4912c4bfa6a558ba911afda4abf17c451bebb3ce2b7f49cf7d7b,sha256:b0e71b0c380b4912c4bfa6a558ba911afda4abf17c451bebb3ce2b7f49cf7d7b,True,independent_zero_iteration_probe_matches_factors_captured_from_actual_fit,random,4,0.7930345123102722,cp,smallnet_hybrid_memory_bounded_mttkrp,536870912,64,torch.float32,0.7930345123102722,29,0.0659090909090909,1,,1,completed
,,,71cd2cf32c3d5b9b06f0c917d86f22f7be1c00e07a70bc97d08f2feae0a4eb64,0.9736462822385601,0.9479870829169698,1e-05,synthetic,True,15.172413793103448,completed_requested_budget_iteration_history_unavailable,0.0007851250120438635,576,8x6x3x3,"{""deterministic"": true, ""seed"": 2, ""torch_deterministic_algorithms"": ""warn_only""}",cpu,,0.15495257060669754,71cd2cf32c3d5b9b06f0c917d86f22f7be1c00e07a70bc97d08f2feae0a4eb64,sha256:71cd2cf32c3d5b9b06f0c917d86f22f7be1c00e07a70bc97d08f2feae0a4eb64,True,independent_zero_iteration_probe_matches_factors_captured_from_actual_fit,random,1,0.7930345123102722,cp,smallnet_hybrid_memory_bounded_mttkrp,536870912,64,torch.float32,0.7930345123102722,29,0.0659090909090909,1,,2,completed
,,,71cd2cf32c3d5b9b06f0c917d86f22f7be1c00e07a70bc97d08f2feae0a4eb64,0.9633186937975531,0.9279829058198238,1e-05,synthetic,True,15.172413793103448,completed_requested_budget_iteration_history_unavailable,0.002688584034331143,576,8x6x3x3,"{""deterministic"": true, ""seed"": 2, ""torch_deterministic_algorithms"": ""warn_only""}",cpu,,0.13494839350955157,71cd2cf32c3d5b9b06f0c917d86f22f7be1c00e07a70bc97d08f2feae0a4eb64,sha256:71cd2cf32c3d5b9b06f0c917d86f22f7be1c00e07a70bc97d08f2feae0a4eb64,True,independent_zero_iteration_probe_matches_factors_captured_from_actual_fit,random,2,0.7930345123102722,cp,smallnet_hybrid_memory_bounded_mttkrp,536870912,64,torch.float32,0.7930345123102722,29,0.0659090909090909,1,,2,completed
