actual_relative_squared_frobenius_error_max,actual_relative_squared_frobenius_error_mean,actual_relative_squared_frobenius_error_min,actual_relative_squared_frobenius_error_seed_range,actual_relative_squared_frobenius_error_std_population,completed_seed_count,expected_seed_count,fraction_original_10_iteration_cp_svd_gap_removed_at_largest_complete_budget,gap_above_max_bound_mean,highest_two_complete_lower_budget,highest_two_complete_upper_budget,highest_two_lower_seed_range,highest_two_mean_absolute_change_below_1e_minus_3,highest_two_mean_relative_change_below_1_percent,highest_two_seed_range_change,highest_two_upper_seed_range,iteration_budget,largest_complete_iteration_budget,max_unfolding_tail_bound_squared,mean_absolute_squared_residual_reduction_50_to_100,mean_absolute_squared_residual_reduction_highest_two_complete_budgets,mean_change_50_to_100_less_than_1e_minus_3,mean_relative_reduction_10_to_100_less_than_1_percent,mean_relative_squared_residual_reduction_10_to_100,mean_relative_squared_residual_reduction_highest_two_complete_budgets,mean_relative_squared_residual_reduction_smallest_to_largest_complete_budget,method,output_mode_svd_residual_squared,rank,remaining_gap_above_max_bound_at_largest_complete_budget,seed_range_change_10_to_100,seed_variability_trend_10_to_100,smallest_complete_iteration_budget
0.8829124181774037,0.8818159207052244,0.879682910902895,0.0032295072745087694,0.0015084644879128073,3,3,0.0008304484041520609,0.17910548950749383,200,400,0.003585758124907912,True,True,0.0,0.003585758124907912,10,400,0.7027104311977306,0.0,0.0,True,True,0.00018092584346153276,0.0,0.00018092584346153276,cp,0.6896988807618406,1,0.17894594621826243,0.0003562508503991424,increased,10
0.8828516402909243,0.8816564691645352,0.8792661574116432,0.0035854828792811766,0.0016902056496657172,3,3,0.0008304484041520609,0.17894603796680464,200,400,0.003585758124907912,True,True,0.0,0.003585758124907912,25,400,0.7027104311977306,0.0,0.0,True,True,0.00018092584346153276,0.0,0.00018092584346153276,cp,0.6896988807618406,1,0.17894594621826243,0.0003562508503991424,increased,10
0.8828516402909243,0.881656377415993,0.8792658821660164,0.003585758124907912,0.0016903354016984846,3,3,0.0008304484041520609,0.17894594621826243,200,400,0.003585758124907912,True,True,0.0,0.003585758124907912,50,400,0.7027104311977306,0.0,0.0,True,True,0.00018092584346153276,0.0,0.00018092584346153276,cp,0.6896988807618406,1,0.17894594621826243,0.0003562508503991424,increased,10
0.8828516402909243,0.881656377415993,0.8792658821660164,0.003585758124907912,0.0016903354016984846,3,3,0.0008304484041520609,0.17894594621826243,200,400,0.003585758124907912,True,True,0.0,0.003585758124907912,100,400,0.7027104311977306,0.0,0.0,True,True,0.00018092584346153276,0.0,0.00018092584346153276,cp,0.6896988807618406,1,0.17894594621826243,0.0003562508503991424,increased,10
0.8828516402909243,0.881656377415993,0.8792658821660164,0.003585758124907912,0.0016903354016984846,3,3,0.0008304484041520609,0.17894594621826243,200,400,0.003585758124907912,True,True,0.0,0.003585758124907912,200,400,0.7027104311977306,0.0,0.0,True,True,0.00018092584346153276,0.0,0.00018092584346153276,cp,0.6896988807618406,1,0.17894594621826243,0.0003562508503991424,increased,10
0.8828516402909243,0.881656377415993,0.8792658821660164,0.003585758124907912,0.0016903354016984846,3,3,0.0008304484041520609,0.17894594621826243,200,400,0.003585758124907912,True,True,0.0,0.003585758124907912,400,400,0.7027104311977306,0.0,0.0,True,True,0.00018092584346153276,0.0,0.00018092584346153276,cp,0.6896988807618406,1,0.17894594621826243,0.0003562508503991424,increased,10
0.8054174747181742,0.790677002975457,0.7737419279891163,0.03167554672905781,0.013024266523017034,3,3,0.08646437907264472,0.33230010329646154,200,400,0.017214252190075552,True,True,0.0,0.017214252190075552,10,400,0.4583768996789954,4.558597743586912e-05,0.0,True,False,0.03633715196137412,0.0,0.036338633840595096,cp,0.4583768996789954,2,0.3035679811991573,-0.014457779475518517,decreased,10
0.7875597508611182,0.7790045822556749,0.7735214579196058,0.014038292941512376,0.0061289753995631205,3,3,0.08646437907264472,0.3206276825766795,200,400,0.017214252190075552,True,True,0.0,0.017214252190075552,25,400,0.4583768996789954,4.558597743586912e-05,0.0,True,False,0.03633715196137412,0.0,0.036338633840595096,cp,0.4583768996789954,2,0.3035679811991573,-0.014457779475518517,decreased,10
0.7734535929491606,0.7619916385434098,0.7562116998872727,0.017241893061887947,0.008104924277809513,3,3,0.08646437907264472,0.30361473886441437,200,400,0.017214252190075552,True,True,0.0,0.017214252190075552,50,400,0.4583768996789954,4.558597743586912e-05,0.0,True,False,0.03633715196137412,0.0,0.036338633840595096,cp,0.4583768996789954,2,0.3035679811991573,-0.014457779475518517,decreased,10
0.7734244438246474,0.7619460525659739,0.7562066765711081,0.017217767253539296,0.008116448297456454,3,3,0.08646437907264472,0.3035691528869785,200,400,0.017214252190075552,True,True,0.0,0.017214252190075552,100,400,0.4583768996789954,4.558597743586912e-05,0.0,True,False,0.03633715196137412,0.0,0.036338633840595096,cp,0.4583768996789954,2,0.3035679811991573,-0.014457779475518517,decreased,10
0.7734209287611836,0.7619448808781527,0.7562066765711081,0.017214252190075552,0.00811479128064905,3,3,0.08646437907264472,0.3035679811991573,200,400,0.017214252190075552,True,True,0.0,0.017214252190075552,200,400,0.4583768996789954,4.558597743586912e-05,0.0,True,False,0.03633715196137412,0.0,0.036338633840595096,cp,0.4583768996789954,2,0.3035679811991573,-0.014457779475518517,decreased,10
0.7734209287611836,0.7619448808781527,0.7562066765711081,0.017214252190075552,0.00811479128064905,3,3,0.08646437907264472,0.3035679811991573,200,400,0.017214252190075552,True,True,0.0,0.017214252190075552,400,400,0.4583768996789954,4.558597743586912e-05,0.0,True,False,0.03633715196137412,0.0,0.036338633840595096,cp,0.4583768996789954,2,0.3035679811991573,-0.014457779475518517,decreased,10
0.6077677981189051,0.5994013002502443,0.5907126038819221,0.017055194236982985,0.006966480293529026,3,3,0.07650096085535239,0.4237212674305971,200,400,0.028412844014288896,True,True,-6.256065874399308e-05,0.028350283355544903,10,400,0.17568003281964717,0.011761489095070576,2.0853552914590345e-05,False,False,0.05391621765896071,3.677829436105764e-05,0.05407910206360151,cp,0.17568003281964717,4,0.3913061833373087,0.011473608945964275,increased,10
