lower_actual_relative_squared_frobenius_error_seed_range,lower_budget,lower_mean_actual_relative_squared_frobenius_error,mean_absolute_change_below_1e_minus_3,mean_absolute_squared_residual_reduction,mean_relative_change_below_1_percent,mean_relative_squared_residual_reduction,method,rank,seed_range_change,upper_actual_relative_squared_frobenius_error_seed_range,upper_budget,upper_mean_actual_relative_squared_frobenius_error
0.0032295072745087694,10,0.8818159207052244,True,0.00015945154068919276,True,0.00018082179845615943,cp,1,0.0003559756047724072,0.0035854828792811766,25,0.8816564691645352
0.0035854828792811766,25,0.8816564691645352,True,9.174854220805884e-08,True,1.0406382238084239e-07,cp,1,2.752456267351988e-07,0.003585758124907912,50,0.881656377415993
0.003585758124907912,50,0.881656377415993,True,0.0,True,0.0,cp,1,0.0,0.003585758124907912,100,0.881656377415993
0.003585758124907912,100,0.881656377415993,True,0.0,True,0.0,cp,1,0.0,0.003585758124907912,200,0.881656377415993
0.003585758124907912,200,0.881656377415993,True,0.0,True,0.0,cp,1,0.0,0.003585758124907912,400,0.881656377415993
0.03167554672905781,10,0.790677002975457,False,0.011672420719782028,False,0.014762565087711736,cp,2,-0.017637253787545437,0.014038292941512376,25,0.7790045822556749
0.014038292941512376,25,0.7790045822556749,False,0.01701294371226514,False,0.021839337148701607,cp,2,0.0032036001203755715,0.017241893061887947,50,0.7619916385434098
0.017241893061887947,50,0.7619916385434098,True,4.558597743586912e-05,True,5.982477382955186e-05,cp,2,-2.4125808348651745e-05,0.017217767253539296,100,0.7619460525659739
0.017217767253539296,100,0.7619460525659739,True,1.1716878212109094e-06,True,1.5377569281513635e-06,cp,2,-3.5150634637437506e-06,0.017214252190075552,200,0.7619448808781527
0.017214252190075552,200,0.7619448808781527,True,0.0,True,0.0,cp,2,0.0,0.017214252190075552,400,0.7619448808781527
0.017055194236982985,10,0.5994013002502443,False,0.008913481060098705,False,0.014870640181089717,cp,4,0.002006793934931861,0.019061988171914845,25,0.5904878191901456
0.019061988171914845,25,0.5904878191901456,False,0.01164248081418695,False,0.019716716307805672,cp,4,-0.0026616476456794436,0.016400340526235402,50,0.5788453383759586
0.016400340526235402,50,0.5788453383759586,False,0.011761489095070576,False,0.020318880217761237,cp,4,0.012128462656711858,0.02852880318294726,100,0.5670838492808881
0.02852880318294726,100,0.5670838492808881,True,7.677957101759336e-05,True,0.00013539368316512024,cp,4,-0.00011595916865836386,0.028412844014288896,200,0.5670070697098705
0.028412844014288896,200,0.5670070697098705,True,2.0853552914590345e-05,True,3.677829436105764e-05,cp,4,-6.256065874399308e-05,0.028350283355544903,400,0.5669862161569559
