actual_relative_squared_frobenius_error_max,actual_relative_squared_frobenius_error_mean,actual_relative_squared_frobenius_error_min,actual_relative_squared_frobenius_error_seed_range,actual_relative_squared_frobenius_error_std_population,completed_seed_count,expected_seed_count,gap_above_max_bound_mean,iteration_budget,max_unfolding_tail_bound_squared,method,output_mode_svd_residual_squared,rank
0.9672793097620375,0.9511354411205906,0.9381399306827644,0.02913937907927311,0.012102616048197307,3,3,0.15810092881031834,1,0.7930345123102722,cp,0.7930345123102722,1
0.9462725194078212,0.9343935329126433,0.9279829058198238,0.01828961358799741,0.008408515810953658,3,3,0.14135902060237104,2,0.7930345123102722,cp,0.7930345123102722,1
0.9447600097863971,0.9325409742821616,0.9262864824732142,0.018473527313182858,0.008640973670734076,3,3,0.13950646197188943,3,0.7930345123102722,cp,0.7930345123102722,1
0.9440355569780543,0.9319156159051643,0.9257780320348302,0.01825752494322408,0.008570326813579623,3,3,0.13888110359489203,4,0.7930345123102722,cp,0.7930345123102722,1
0.9330660215185184,0.9143521919415631,0.8970403689607234,0.036025652557794996,0.014740785312083463,3,3,0.2988865757778586,1,0.6154656161637045,cp,0.6154656161637045,2
0.8774184788681569,0.8766908802602998,0.875705186657582,0.0017132922105749238,0.0007228657410996805,3,3,0.2612252640965953,2,0.6154656161637045,cp,0.6154656161637045,2
0.8735180271333334,0.8701808670188336,0.8669311480821073,0.006586879051226124,0.0026897928518194126,3,3,0.254715250855129,3,0.6154656161637045,cp,0.6154656161637045,2
0.8726011410804466,0.8673640069958207,0.8626384213060966,0.009962719774350037,0.004083316270369888,3,3,0.2518983908321162,4,0.6154656161637045,cp,0.6154656161637045,2
0.838288664676138,0.8179745633719238,0.7964445081160583,0.04184415656007978,0.017104429593247063,3,3,0.47414160208903844,1,0.3438329612828853,cp,0.3438329612828853,4
0.7911119217114172,0.769384802683112,0.7570166281624462,0.034095293548971006,0.015412433125465726,3,3,0.4255518414002267,2,0.3438329612828853,cp,0.3438329612828853,4
0.7711648849221773,0.7544505198849993,0.7445127677967297,0.026652117125447572,0.011889090212224796,3,3,0.410617558602114,3,0.3438329612828853,cp,0.3438329612828853,4
0.7602118248258314,0.7441234265341939,0.7338992280121573,0.02631259681367404,0.011514623078881979,3,3,0.4002904652513086,4,0.3438329612828853,cp,0.3438329612828853,4
